city_codes,beds,baths,size,price
165,3,2,1302,999999
16,4,3,2406,1348000
274,4,3,1874,1150000
112,2,1,1057,1400000
274,4,3,3122,1499900
274,6,4,3145,1077500
315,4,3,2866,1200000
395,4,3,2484,1150000
111,6,3,3129,995900
376,4,2,1923,1095000
207,3,2,1758,1200000
360,3,2,1250,1175000
207,2,2,1713,1329500
207,3,2,1600,1199000
204,3,1,1883,1200000
207,2,2,1072,1099000
94,2,1,1034,1050000
207,3,2,1426,1198000
410,3,2,2021,1275000
10,3,4,2937,1200000
207,3,2,1293,1198900
204,3,1.1,1432,1299000
410,4,2.1,2364,1050000
410,3,4,2890,1475000
114,3,2,1445,1150000
207,3,2,1400,1395000
103,4,5,4329,1400000
207,3,2,1771,1195000
410,4,5,2934,1249000
274,3,2.1,2569,1250000
301,3,2,1612,1289000
204,7,6,3200,1450000
410,6,3.1,3070,1350000
207,3,2,1677,1149000
346,2,2,1628,995000
207,3,2.1,1223,999999
207,2,1.1,1274,1325000
207,2,2.1,1774,1125000
204,3,3,2596,1250000
126,3,2,1861,1184888
221,4,5.1,3677,1329900
114,5,4,2200,999000
207,4,2.1,2031,1380000
410,4,4.1,3154,1119000
207,4,3,2500,1255000
247,4,3,3176,999900
274,3,2,1052,995000
376,5,3,2388,1399000
207,3,2,1827,1350000
3,5,3.1,3146,1249000
126,4,2.1,2398,1349000
364,4,5,3343,995000
221,4,2.1,2680,1138000
207,3,3,1954,1075000
410,5,4,3009,1254888
23,5,4.1,4584,1349000
315,4,3,3126,1148000
126,3,3.1,2106,1349900
94,2,1,1053,1050000
385,4,3,2324,1174950
274,4,2,2097,1259000
410,5,3.1,2862,1349000
70,5,4.1,3154,1160000
16,3,2,2074,1299990
221,3,2.1,2728,1250000
16,5,6,3543,1350000
204,3,2,1817,1189000
366,4,3,2455,1295000
52,4,3,2012,1099000
410,3,2.1,2061,1250000
102,5,6,3467,1480000
136,5,6,5629,1480000
207,3,2,1700,1395000
114,3,2.1,2202,1195000
207,5,5,3506,1395000
207,3,2,1467,1495000
63,4,3.1,3144,1050000
204,5,4,2126,1299000
207,3,4,1859,1199000
364,4,2,1990,1135000
165,3,2,1818,1399000
207,3,2,1530,995000
16,3,2,1973,1258888
387,4,4,2619,1099000
207,5,3,2142,1100000
52,4,4,2097,1445000
410,4,3.2,2481,999999
207,3,1,1200,1090000
207,5,3.1,2374,1350000
165,3,2,1432,1395000
204,2,2,1145,1100000
397,5,2,2843,1050000
126,3,2,1391,1050000
346,3,2.1,2706,1479900
337,2,1,860,1395000
347,3,2,1641,1125000
204,4,3,4051,1295000
366,5,4.1,3262,1349000
366,3,2,1890,998000
6,5,3,2629,1088000
395,3,3,2479,998000
207,5,1.1,2252,1199000
315,5,4.1,3300,1350000
207,3,2,1554,1050000
35,2,2,1200,1150000
366,3,2,1764,1189000
207,4,2.1,2092,1100000
207,6,3,3439,1250000
207,4,3.1,3101,1400000
94,2,2,1319,1029999
346,3,2.1,1875,1399000
347,2,2,1262,1100000
207,3,3,2186,1410000
207,2,2.1,1538,1175000
207,4,3.1,2433,1449000
376,4,2,1784,1120000
207,2,2,2024,1499000
204,4,3,2013,995000
389,1,1,499,1194000
346,3,2,1942,1298000
207,4,3,2340,1399000
207,4,3,2162,1479000
207,2,2,1163,999000
207,4,2,2578,1349000
410,4,3.1,2830,1299000
274,4,4,2730,1788800
155,4,3,3415,1899999
400,3,2,2200,1750000
386,6,4.1,3936,1800000
207,4,3,2425,1699000
207,3,2,1928,1925000
207,2,2,1267,1699000
10,4,4.1,3198,1600000
127,4,4.1,4472,1612990
323,4,4,2825,1800000
207,2,1,957,1499000
389,2,2,1600,1700000
155,4,2,2900,1600000
204,3,2,1550,1590000
274,4,3,3122,1499900
360,3,2,1762,1585000
136,7,5.2,5326,1588000
176,5,6.1,5640,1748800
207,4,1.1,2317,1518800
410,4,2.1,3500,1699000
207,3,2,1776,1650000
207,3,2,2200,1795000
346,5,4.1,4380,1898000
212,3,2,1872,1995000
207,3,3,2555,1899000
207,4,3,1820,1599000
126,5,3.1,5001,1595000
301,3,3,3050,1790000
386,4,3,2142,1549000
136,4,6,4351,1680000
207,3,2.1,2092,1649999
