,Unnamed: 0,city_codes,beds,baths,size,price
558,558,52,4,3.1,3692,1550000
559,559,207,2,2.0,2184,1600000
560,560,3,4,3.0,3697,1975000
561,561,207,4,3.0,2536,1998000
562,562,207,3,2.0,1897,1795000
563,563,94,3,2.0,1918,1799000
564,564,35,3,2.0,1984,1799000
565,565,207,3,3.0,2816,1585000
566,566,81,5,4.1,4502,1598800
567,567,305,4,2.0,1792,1749000
568,568,207,4,3.0,1759,1545000
569,569,16,5,4.1,3787,1888888
570,570,292,5,5.0,4721,1850000
571,571,207,5,5.0,3342,1775000
572,572,94,3,3.0,1835,1549000
573,573,207,5,4.0,2300,1999000
574,574,207,3,2.0,1661,1895000
575,575,355,4,3.0,2171,1887000
576,576,346,4,5.0,2700,1865000
577,577,114,5,5.0,7800,1895000
578,578,207,2,2.0,1352,1649000
579,579,346,4,3.1,3279,1795000
580,580,94,3,4.0,2722,1995000
581,581,207,3,2.0,1416,1698000
582,582,207,3,3.0,2675,1990000
583,583,207,4,5.0,2871,1698000
584,584,386,3,3.0,3097,1799000
585,585,347,4,2.0,2642,1795000
586,586,94,4,4.0,3035,1999999
587,587,207,3,2.0,1621,1599000
588,588,315,5,5.0,4503,1500000
589,589,102,6,4.0,4368,1798000
590,590,360,4,3.1,3048,1649000
591,591,397,5,5.0,4403,1800000
592,592,301,4,3.0,1929,1525000
593,593,263,3,2.0,2097,1700000
594,594,207,3,2.0,2350,1950000
595,595,54,5,3.1,3291,1579000
596,596,389,3,2.0,2055,1975000
597,597,207,3,2.1,1850,1625000
598,598,10,5,6.0,4359,1899000
599,599,315,7,6.1,4824,1498000
600,600,207,4,4.0,3096,1825000
601,601,289,4,2.3,2309,1549000
602,602,207,3,2.0,1690,1725000
603,603,207,5,5.0,3527,1999000
604,604,386,5,5.0,4000,1895000
605,605,207,4,3.0,3098,1799000
606,606,207,3,3.0,2030,1575000
607,607,207,3,2.0,1787,1550000
608,608,269,4,3.0,2906,1719000
609,609,54,5,6.0,4994,1999900
610,610,399,4,2.0,1944,1679000
611,611,389,4,2.0,1356,1995000
612,612,207,5,3.0,2450,1825000
613,613,126,3,3.1,2690,1897000
614,614,165,3,4.0,2616,1645000
615,615,114,5,5.0,4246,1950000
616,616,274,4,2.0,2535,1958000
617,617,207,4,5.0,3837,1799000
618,618,328,4,3.0,2678,1788000
619,619,274,4,2.1,2294,1499000
620,620,328,3,2.0,2097,1798000
621,621,16,3,2.0,1680,1880000
622,622,369,4,4.1,3824,1998000
623,623,52,4,3.1,2366,1599000
624,624,305,5,3.0,2357,1950000
